organization,title,name,contact,term_end
White House,President,Donald Trump,https://www.whitehouse.gov/contact/,2029-01-20
White House,Vice President,JD Vance,https://www.whitehouse.gov/contact/,2029-01-20
United States Senate,Senate Minority Leader,Chuck Schumer,https://www.schumer.senate.gov/services/special-recognitions,2029-01-03
United States Senate,Senator,Kirsten Gillibrand,https://www.gillibrand.senate.gov/contact/email-me/,2031-01-03
United States House of Representatives,Representative,Nick LaLota,https://lalota.house.gov/services/commendations-and-greetings,2027-01-03
United States House of Representatives,Representative,Andrew Garbarino,https://garbarino.house.gov/services/commendations-and-greetings,2027-01-03
United States House of Representatives,Representative,Tom Suozzi,https://suozzi.house.gov/services/commendations-and-greetings,2027-01-03
United States House of Representatives,Representative,Laura Gillen,https://gillen.house.gov/services/commendations-and-greetings,2027-01-03
New York State,Governor,Kathy Hochul,https://app.smartsheet.com/b/form/ed363394e68a4cf6a84c48d179970902,2027-01-01
